voiture@maison ['voiture', 1, 1, 'maison', None]
cuisine@maison* ['cuisine', 1, 2, 'maison', None]
chambre@maison* ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison* ['avion', 2, 2, 'maison', None]
voyager@maison ['voyager', 2, 3, 'maison', None]
savon@maison* ['savon', 3, 1, 'maison', None]
eau@maison* ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
voiture@accueil ['voiture', 1, 1, 'accueil', 'maison']
salle@accueil ['salle', 1, 2, 'accueil', 'extra_6010']
avion@accueil* ['avion', 1, 3, 'accueil', 'extra_7743']
voyager@accueil ['voyager', 2, 1, 'accueil', 'extra_9771']
chaise@accueil ['chaise', 2, 2, 'accueil', 'extra_2891']
professeur@ecole* ['professeur', 1, 1, 'ecole', None]
devoir@ecole* ['devoir', 1, 2, 'ecole', None]
livre@ecole ['livre', 1, 3, 'ecole', None]
cahier@ecole* ['cahier', 2, 1, 'ecole', None]
ecole_r@ecole ['ecole_r', 2, 2, 'ecole', None]
toilette@ecole* ['toilette', 2, 3, 'ecole', None]
je@ecole** ['je', 3, 1, 'ecole', None]
bureau@ecole* ['bureau', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
ecole_r@accueil ['ecole_r', 2, 3, 'accueil', 'ecole']
garcon@accueil* ['garcon', 3, 1, 'accueil', 'extra_6393']
table@accueil* ['table', 3, 2, 'accueil', None]
homme@lieux ['homme', 1, 1, 'lieux', None]
priere@religion* ['priere', 1, 1, 'religion', None]
universite@religion ['universite', 1, 2, 'religion', None]
eglise@religion* ['eglise', 2, 1, 'religion', None]
train@religion* ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'lieux']
religion_r@personnes ['religion_r', 1, 2, 'lieux', 'religion']
parc@personnes ['parc', 1, 3, 'lieux', None]
femme@personnes ['femme', 2, 1, 'lieux', None]
infirmiere@hopital* ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital* ['docteur', 1, 3, 'hopital', None]
pacient@hopital* ['pacient', 2, 1, 'hopital', None]
maladie@hopital* ['maladie', 2, 2, 'hopital', None]
train@hopital* ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'lieux']
hopital_r@personnes ['hopital_r', 2, 2, 'lieux', 'hopital']
lieux_r@lieux ['lieux_r', 2, 3, 'lieux', None]
voyager@lieux ['voyager', 3, 1, 'lieux', None]
agence@lieux ['agence', 3, 2, 'lieux', None]
retour_r@lieux ['retour_r', 3, 3, 'lieux', 'accueil']
plus_r@accueil* ['plus_r', 3, 3, 'accueil', 'lieux']
maison_r@accueil ['maison_r', 1, 3, 'religion', None]
maison_r@maison ['maison_r', 2, 2, 'religion', None]
cuisine@maison ['cuisine', 2, 3, 'religion', None]
chambre@maison ['chambre', 3, 1, 'religion', None]
fin@maison ['fin', 1, 1, 'hopital', None]
avion@maison ['avion', 3, 1, 'hopital', None]
nager@maison ['nager', 3, 2, 'hopital', None]
retour_r@extra_6010 ['retour_r', 3, 3, 'extra_6010', 'accueil']
savon@maison ['savon', 1, 1, 'extra_6010', None]
eau@maison ['eau', 1, 2, 'extra_6010', None]
fin@accueil ['fin', 1, 3, 'extra_6010', None]
avion@accueil ['avion', 2, 1, 'extra_6010', None]
nager@accueil ['nager', 2, 2, 'extra_6010', None]
livre@accueil ['livre', 2, 3, 'extra_6010', None]
je@accueil ['je', 3, 1, 'extra_6010', None]
professeur@ecole ['professeur', 3, 2, 'extra_6010', None]
retour_r@extra_7743 ['retour_r', 3, 3, 'extra_7743', 'accueil']
devoir@ecole ['devoir', 1, 1, 'extra_7743', None]
chaise@ecole ['chaise', 1, 2, 'extra_7743', None]
cahier@ecole ['cahier', 1, 3, 'extra_7743', None]
je@ecole ['je', 2, 1, 'extra_7743', None]
toilette@ecole ['toilette', 2, 2, 'extra_7743', None]
je@ecole* ['je', 2, 3, 'extra_7743', None]
bureau@ecole ['bureau', 3, 1, 'extra_7743', None]
garcon@accueil ['garcon', 3, 2, 'extra_7743', None]
retour_r@extra_9771 ['retour_r', 3, 3, 'extra_9771', 'accueil']
table@accueil ['table', 1, 1, 'extra_9771', None]
plus_r@accueil ['plus_r', 1, 2, 'extra_9771', None]
homme@personnes ['homme', 1, 3, 'extra_9771', None]
religion_r@lieux ['religion_r', 2, 1, 'extra_9771', None]
priere@religion ['priere', 2, 2, 'extra_9771', None]
voyager@religion ['voyager', 2, 3, 'extra_9771', None]
eglise@religion ['eglise', 3, 1, 'extra_9771', None]
train@religion ['train', 3, 2, 'extra_9771', None]
retour_r@extra_2891 ['retour_r', 3, 3, 'extra_2891', 'accueil']
parc@lieux ['parc', 1, 1, 'extra_2891', None]
femme@lieux ['femme', 1, 2, 'extra_2891', None]
hopital_r@lieux ['hopital_r', 1, 3, 'extra_2891', None]
infirmiere@hopital ['infirmiere', 2, 1, 'extra_2891', None]
docteur@hopital ['docteur', 2, 2, 'extra_2891', None]
pacient@hopital ['pacient', 2, 3, 'extra_2891', None]
maladie@hopital ['maladie', 3, 1, 'extra_2891', None]
train@hopital ['train', 3, 2, 'extra_2891', None]
retour_r@extra_6393 ['retour_r', 3, 3, 'extra_6393', 'accueil']
lieux_r@personnes ['lieux_r', 1, 1, 'extra_6393', None]
universite@personnes ['universite', 1, 2, 'extra_6393', None]
agence@personnes ['agence', 1, 3, 'extra_6393', None]
